episode,policy,board,total_reward,steps,deaths,remaining_pellets,won,seed
443,mdp_policy,pac,3566.0,434,0,0,1,443
444,mdp_policy,pac,3448.0,352,0,0,1,444
445,mdp_policy,pac,3779.0,421,0,0,1,445
446,mdp_policy,pac,1890.0,500,1,1,0,446
447,mdp_policy,pac,3042.0,358,2,0,1,447
448,mdp_policy,pac,3069.0,331,2,0,1,448
449,mdp_policy,pac,3067.0,333,1,0,1,449
450,mdp_policy,pac,1263.0,327,4,17,0,450
451,mdp_policy,pac,3464.0,336,0,0,1,451
452,mdp_policy,pac,2823.0,377,2,0,1,452
453,mdp_policy,pac,3433.0,367,0,0,1,453
454,mdp_policy,pac,3090.0,310,1,0,1,454
455,mdp_policy,pac,2623.0,377,3,0,1,455
456,mdp_policy,pac,3620.0,380,1,0,1,456
457,mdp_policy,pac,3028.0,372,2,0,1,457
458,mdp_policy,pac,3265.0,335,1,0,1,458
459,mdp_policy,pac,2050.0,500,0,1,0,459
460,mdp_policy,pac,3034.0,366,2,0,1,460
461,mdp_policy,pac,3608.0,392,0,0,1,461
462,mdp_policy,pac,3055.0,345,1,0,1,462
463,mdp_policy,pac,3648.0,352,0,0,1,463
464,mdp_policy,pac,3184.0,416,0,0,1,464
465,mdp_policy,pac,3019.0,381,1,0,1,465
466,mdp_policy,pac,3288.0,312,0,0,1,466
467,mdp_policy,pac,3356.0,444,0,0,1,467
468,mdp_policy,pac,3280.0,320,1,0,1,468
469,mdp_policy,pac,2849.0,351,2,0,1,469
470,mdp_policy,pac,3315.0,485,0,0,1,470
471,mdp_policy,pac,3432.0,368,0,0,1,471
472,mdp_policy,pac,1497.0,413,4,9,0,472
473,mdp_policy,pac,3450.0,350,0,0,1,473
474,mdp_policy,pac,1880.0,500,3,2,0,474
475,mdp_policy,pac,3248.0,352,1,0,1,475
476,mdp_policy,pac,3833.0,367,0,0,1,476
477,mdp_policy,pac,3537.0,463,0,0,1,477
478,mdp_policy,pac,3418.0,382,0,0,1,478
479,mdp_policy,pac,3268.0,332,0,0,1,479
480,mdp_policy,pac,3448.0,352,1,0,1,480
481,mdp_policy,pac,3813.0,387,0,0,1,481
482,mdp_policy,pac,3050.0,350,1,0,1,482
483,mdp_policy,pac,3402.0,398,0,0,1,483
